dtype,size,op,method,parallel,seq,abs_err,time,GBs
<class 'numpy.int64'>,1024,SUM,MPI_Allreduce,29879,29879,0,0.00036587800013876404,0.02238997697837278
<class 'numpy.int64'>,1024,MIN,MPI_Allreduce,-1000,-1000,0,9.839899985308875e-05,0.08325287871046234
<class 'numpy.int64'>,1024,MAX,MPI_Allreduce,996,996,0,0.00020638500018321793,0.03969280709706406
<class 'numpy.int64'>,1024,SCAN,MPI_Exscan+Gath,nan,nan,0,0.00034758199990392313,0.04713707845782803
<class 'numpy.int64'>,1048576,SUM,MPI_Allreduce,184469,184469,0,0.00042473500025153044,19.750216005349735
<class 'numpy.int64'>,1048576,MIN,MPI_Allreduce,-1000,-1000,0,0.0005019299997002236,16.712704968840427
<class 'numpy.int64'>,1048576,MAX,MPI_Allreduce,999,999,0,0.010553876999892964,0.7948366273441577
<class 'numpy.int64'>,1048576,SCAN,MPI_Exscan+Gath,nan,nan,0,0.006423379999887402,2.611898408671773
<class 'numpy.int64'>,16777216,SUM,MPI_Allreduce,-9297718,-9297718,0,0.0036230430000614433,37.045579640573905
<class 'numpy.int64'>,16777216,MIN,MPI_Allreduce,-1000,-1000,0,0.006221268999979657,21.574011347273185
<class 'numpy.int64'>,16777216,MAX,MPI_Allreduce,999,999,0,0.005935945000146603,22.611012736250952
<class 'numpy.int64'>,16777216,SCAN,MPI_Exscan+Gath,nan,nan,0,0.0747402609999881,3.59157771739709
<class 'numpy.int32'>,1024,SUM,MPI_Allreduce,29879,29879,0,0.00012897200031147804,0.031758831297551575
<class 'numpy.int32'>,1024,MIN,MPI_Allreduce,-1000,-1000,0,4.841400004806928e-05,0.08460362696602562
<class 'numpy.int32'>,1024,MAX,MPI_Allreduce,996,996,0,4.721100003735046e-05,0.08675944158690761
<class 'numpy.int32'>,1024,SCAN,MPI_Exscan+Gath,nan,nan,0,5.840999983774964e-05,0.14024995758869382
<class 'numpy.int32'>,1048576,SUM,MPI_Allreduce,184469,184469,0,0.00028909100001328625,14.50859417902057
<class 'numpy.int32'>,1048576,MIN,MPI_Allreduce,-1000,-1000,0,0.0002023259999077709,20.730425164892047
<class 'numpy.int32'>,1048576,MAX,MPI_Allreduce,999,999,0,0.0001584300002832606,26.474177823019055
<class 'numpy.int32'>,1048576,SCAN,MPI_Exscan+Gath,nan,nan,0,0.0033710779998727958,2.4884051927355393
<class 'numpy.int32'>,16777216,SUM,MPI_Allreduce,-9297718,-9297718,0,0.0034649379999791563,19.36798407371321
<class 'numpy.int32'>,16777216,MIN,MPI_Allreduce,-1000,-1000,0,0.0032036040001912625,20.94792739551875
<class 'numpy.int32'>,16777216,MAX,MPI_Allreduce,999,999,0,0.003090613000040321,21.713771345401216
<class 'numpy.int32'>,16777216,SCAN,MPI_Exscan+Gath,nan,nan,0,0.08554887900027097,1.5689010723281933
<class 'numpy.float64'>,1024,SUM,MPI_Allreduce,2984.701420169447,2984.701420169447,0.0,0.00018716399972618092,0.04376910095950511
<class 'numpy.float64'>,1024,MIN,MPI_Allreduce,-99.9619996785313,-99.9619996785313,0.0,0.0004332860003160022,0.018906680562089353
<class 'numpy.float64'>,1024,MAX,MPI_Allreduce,99.90027045140536,99.90027045140536,0.0,0.0281314389999352,0.0002912044421196822
<class 'numpy.float64'>,1024,SCAN,MPI_Exscan+Gath,nan,nan,3.637978807091713e-12,0.0023098199999367353,0.007093193409204505
<class 'numpy.float64'>,1048576,SUM,MPI_Allreduce,65555.95150419587,65555.95150419585,1.4551915228366852e-11,0.0003540090001479257,23.696030317011004
<class 'numpy.float64'>,1048576,MIN,MPI_Allreduce,-99.99986264710654,-99.99986264710654,0.0,0.011654701999759709,0.7197616893313061
<class 'numpy.float64'>,1048576,MAX,MPI_Allreduce,99.99997693444755,99.99997693444755,0.0,0.00044201999980941764,18.977892411241235
<class 'numpy.float64'>,1048576,SCAN,MPI_Exscan+Gath,nan,nan,1.7462298274040222e-09,0.008820627999739372,1.90204325593322
<class 'numpy.float64'>,16777216,SUM,MPI_Allreduce,-240557.11967247466,-240557.11967247463,2.9103830456733704e-11,0.0032058990000223275,41.865862898071725
<class 'numpy.float64'>,16777216,MIN,MPI_Allreduce,-99.99999321371251,-99.99999321371251,0.0,0.0030137789999571396,44.534694814022124
<class 'numpy.float64'>,16777216,MAX,MPI_Allreduce,99.99999968097137,99.99999968097137,0.0,0.008172546000423608,16.423000616092352
<class 'numpy.float64'>,16777216,SCAN,MPI_Exscan+Gath,nan,nan,5.154288373887539e-08,0.07385104600007253,3.63482266723394
<class 'numpy.float32'>,1024,SUM,MPI_Allreduce,2984.7012,2984.7012,0.0,0.00022283700036496157,0.018381148522424853
<class 'numpy.float32'>,1024,MIN,MPI_Allreduce,-99.962,-99.962,0.0,0.038468014000045514,0.00010647807292560394
<class 'numpy.float32'>,1024,MAX,MPI_Allreduce,99.90027,99.90027,0.0,0.004603493999638886,0.0008897589527261913
<class 'numpy.float32'>,1024,SCAN,MPI_Exscan+Gath,nan,nan,0.0061035156,0.005468926000048668,0.001497917507007244
<class 'numpy.float32'>,1048576,SUM,MPI_Allreduce,65555.96,65555.95,0.0078125,0.0005800730000373733,7.230648555836536
<class 'numpy.float32'>,1048576,MIN,MPI_Allreduce,-99.99986,-99.99986,0.0,0.0005412560003605904,7.7492055463693905
<class 'numpy.float32'>,1048576,MAX,MPI_Allreduce,99.99998,99.99998,0.0,0.00027453500024421373,15.277847983932613
<class 'numpy.float32'>,1048576,SCAN,MPI_Exscan+Gath,nan,nan,0.70703125,0.0017698399997243541,4.739755006840445
<class 'numpy.float32'>,16777216,SUM,MPI_Allreduce,-240557.19,-240556.98,0.203125,0.0021660859997609805,30.98162492505155
<class 'numpy.float32'>,16777216,MIN,MPI_Allreduce,-99.99999,-99.99999,0.0,0.0031942119999257557,21.00952097154473
<class 'numpy.float32'>,16777216,MAX,MPI_Allreduce,100.0,100.0,0.0,0.0022491549998449045,29.837367368913053
<class 'numpy.float32'>,16777216,SCAN,MPI_Exscan+Gath,nan,nan,35.765625,0.03692294899974513,3.635076060715694
