dtype,size,op,parallel,seq,abs_err,time,GBs
<class 'numpy.int64'>,1024,SUM,29879,29879,0,0.942280842999935,8.693798734058064e-06
<class 'numpy.int64'>,1024,MIN,-1000,-1000,0,0.49141375099998186,1.6670270181349283e-05
<class 'numpy.int64'>,1024,MAX,996,996,0,0.4799697040002684,1.7067743925761238e-05
<class 'numpy.int64'>,1024,SCAN,0,0,0,3.4541145440002765,4.743328511921719e-06
<class 'numpy.int64'>,1048576,SUM,184469,184469,0,0.0005165190000298026,16.240657167531083
<class 'numpy.int64'>,1048576,MIN,-1000,-1000,0,0.0002427139997962513,34.56169815932291
<class 'numpy.int64'>,1048576,MAX,999,999,0,0.00020808399995075888,40.313565684940144
<class 'numpy.int64'>,1048576,SCAN,0,0,0,0.03318244499996581,0.505605177678055
<class 'numpy.int64'>,16777216,SUM,-9297718,-9297718,0,0.0496240730003592,2.704689879023604
<class 'numpy.int64'>,16777216,MIN,-1000,-1000,0,0.021528378000311932,6.234456121035001
<class 'numpy.int64'>,16777216,MAX,999,999,0,0.060222794999845064,2.2286864633291317
<class 'numpy.int64'>,16777216,SCAN,0,0,0,0.34128930600036256,0.7865334520610934
<class 'numpy.int32'>,1024,SUM,29879,29879,0,1.4843643929998507,2.7594302445655688e-06
<class 'numpy.int32'>,1024,MIN,-1000,-1000,0,0.6414273189998312,6.385758571036289e-06
<class 'numpy.int32'>,1024,MAX,996,996,0,1.0560794419998274,3.878496102758782e-06
<class 'numpy.int32'>,1024,SCAN,0,0,0,3.608956183999908,2.269908411833522e-06
<class 'numpy.int32'>,1048576,SUM,184469,184469,0,0.00032726700010243803,12.8161531675578
<class 'numpy.int32'>,1048576,MIN,-1000,-1000,0,0.00031076699997356627,13.496619655100979
<class 'numpy.int32'>,1048576,MAX,999,999,0,0.00028321200034042704,14.809767929884167
<class 'numpy.int32'>,1048576,SCAN,0,0,0,0.0029517500001929875,2.841910053172371
<class 'numpy.int32'>,16777216,SUM,-9297718,-9297718,0,0.006508887000109098,10.310343995659345
<class 'numpy.int32'>,16777216,MIN,-1000,-1000,0,0.01656966599966836,4.05010360506622
<class 'numpy.int32'>,16777216,MAX,999,999,0,0.0598826039999949,1.1206737769787987
<class 'numpy.int32'>,16777216,SCAN,0,0,0,0.1544374479999533,0.8690750186447045
<class 'numpy.float64'>,1024,SUM,2984.7014201694465,2984.701420169447,4.547473508864641e-13,0.9703644290002558,8.442189094297314e-06
<class 'numpy.float64'>,1024,MIN,-99.9619996785313,-99.9619996785313,0.0,0.5539124949996221,1.4789339604995892e-05
<class 'numpy.float64'>,1024,MAX,99.90027045140536,99.90027045140536,0.0,0.4994820599999912,1.6400989456958965e-05
<class 'numpy.float64'>,1024,SCAN,0,0,3.183231456205249e-12,2.1186136570004237,7.733359003829325e-06
<class 'numpy.float64'>,1048576,SUM,65555.95150419578,65555.95150419585,7.275957614183426e-11,0.08521664999989298,0.09843860325429989
<class 'numpy.float64'>,1048576,MIN,-99.99986264710654,-99.99986264710654,0.0,0.005947250000190252,1.410501996676052
<class 'numpy.float64'>,1048576,MAX,99.99997693444755,99.99997693444755,0.0,0.015124797000225954,0.554626154643575
<class 'numpy.float64'>,1048576,SCAN,0,0,1.6152625903487206e-09,0.1042436549996637,0.16094232306085318
<class 'numpy.float64'>,16777216,SUM,-240557.11967247011,-240557.11967247463,4.511093720793724e-09,0.046338244999788,2.8964784488625765
<class 'numpy.float64'>,16777216,MIN,-99.99999321371251,-99.99999321371251,0.0,0.0318000510001184,4.220676501415054
<class 'numpy.float64'>,16777216,MAX,99.99999968097137,99.99999968097137,0.0,0.027329468000061752,4.9110991842101255
<class 'numpy.float64'>,16777216,SCAN,0,0,5.3958501666784286e-08,0.24184717199977968,1.109938370502197
<class 'numpy.float32'>,1024,SUM,2984.7013597488403,2984.7012,0.00024414062,1.056278779999957,3.877764163737311e-06
<class 'numpy.float32'>,1024,MIN,-99.96199798583984,-99.962,0.0,1.0116079399999762,4.0489994572404165e-06
<class 'numpy.float32'>,1024,MAX,99.9002685546875,99.90027,0.0,0.4826913599999898,8.485753712268822e-06
<class 'numpy.float32'>,1024,SCAN,0,0,0.0056152344,2.699891939999816,3.0341955093212205e-06
<class 'numpy.float32'>,1048576,SUM,65555.9476776123,65555.95,0.0078125,0.00033677000010357006,12.454506038869514
<class 'numpy.float32'>,1048576,MIN,-99.99986267089844,-99.99986,0.0,0.0002872869999919203,14.599699952026931
<class 'numpy.float32'>,1048576,MAX,99.9999771118164,99.99998,0.0,0.00030519199981426937,13.743164966816058
<class 'numpy.float32'>,1048576,SCAN,0,0,1.0234375,0.0029943979998279247,2.801433877688289
<class 'numpy.float32'>,16777216,SUM,-240557.13381958008,-240556.98,0.15625,0.00523737000003166,12.813466300756739
<class 'numpy.float32'>,16777216,MIN,-99.99999237060547,-99.99999,0.0,0.043230622000010044,1.5523455572761458
<class 'numpy.float32'>,16777216,MAX,100.0,100.0,0.0,0.03774107500021273,1.778138646014236
<class 'numpy.float32'>,16777216,SCAN,0,0,43.828125,0.18052016299998286,0.7435054664780728
